"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-02-13T03:00:00.000Z","84.31","84.60","82.84","83.38","-1.01","-1.14","20,578,400"
"2024-02-14T03:00:00.000Z","83.99","84.25","82.86","83.30","-0.10","-0.22","20,447,300"
"2024-02-15T03:00:00.000Z","83.28","85.86","83.21","85.62","2.79","2.66","21,682,200"
"2024-02-16T03:00:00.000Z","85.97","86.25","85.32","85.57","-0.06","-0.19","13,478,200"
"2024-02-20T03:00:00.000Z","85.66","85.71","84.68","84.79","-0.91","-1.04","14,497,800"
"2024-02-21T03:00:00.000Z","85.15","86.46","85.09","86.38","1.88","1.75","14,378,300"
"2024-02-22T03:00:00.000Z","85.83","86.89","85.42","86.53","0.17","0.04","17,603,400"
"2024-02-23T03:00:00.000Z","85.69","86.24","85.14","85.96","-0.66","-0.79","14,476,200"
"2024-02-26T03:00:00.000Z","85.86","86.83","85.43","86.26","0.35","0.22","11,688,200"
"2024-02-27T03:00:00.000Z","86.34","86.71","85.45","85.89","-0.43","-0.56","13,158,700"
"2024-02-28T03:00:00.000Z","86.00","86.65","85.38","85.72","-0.20","-0.33","13,339,800"
"2024-02-29T03:00:00.000Z","85.90","86.42","85.66","86.14","0.49","0.36","13,667,700"
"2024-03-01T03:00:00.000Z","86.76","87.54","86.61","87.14","1.16","1.03","16,227,500"
"2024-03-04T03:00:00.000Z","87.09","87.32","86.13","86.21","-1.07","-1.20","16,599,000"
"2024-03-05T03:00:00.000Z","86.08","87.41","85.97","86.85","0.74","0.61","16,087,100"
"2024-03-06T03:00:00.000Z","87.58","88.04","86.93","87.12","0.31","0.18","14,004,400"
"2024-03-07T03:00:00.000Z","87.24","88.35","87.17","87.86","0.85","0.72","12,284,600"
"2024-03-08T03:00:00.000Z","87.74","88.19","87.52","88.17","0.35","0.22","14,119,700"
"2024-03-11T03:00:00.000Z","88.19","89.11","87.53","89.08","1.03","0.90","12,491,900"
"2024-03-12T03:00:00.000Z","89.07","89.32","88.47","88.94","-0.16","-0.29","11,890,300"
"2024-03-13T03:00:00.000Z","89.87","90.85","89.72","90.36","1.60","1.47","21,362,600"
"2024-03-14T03:00:00.000Z","90.72","91.33","90.37","91.29","1.03","0.90","17,973,000"
"2024-03-15T03:00:00.000Z","91.22","92.22","91.01","91.56","0.30","0.17","18,874,600"
"2024-03-18T03:00:00.000Z","91.19","91.46","90.43","91.14","-0.46","-0.59","15,248,400"
"2024-03-19T03:00:00.000Z","91.13","92.25","91.07","92.18","1.14","1.01","14,272,900"
"2024-03-20T03:00:00.000Z","91.65","92.38","91.51","92.05","-0.14","-0.27","16,329,700"
"2024-03-21T03:00:00.000Z","92.21","92.79","91.92","92.60","0.60","0.47","11,667,100"
"2024-03-22T03:00:00.000Z","92.64","92.87","92.17","92.40","-0.22","-0.34","8,970,500"
"2024-03-25T03:00:00.000Z","92.72","93.88","92.70","93.26","0.93","0.80","17,537,200"
"2024-03-26T03:00:00.000Z","93.35","93.56","92.36","92.54","-0.77","-0.90","17,686,900"
"2024-03-27T03:00:00.000Z","92.34","93.42","92.18","93.40","0.93","0.80","16,980,000"
"2024-03-28T03:00:00.000Z","93.95","94.58","93.50","94.41","1.08","0.95","17,307,600"
"2024-04-01T03:00:00.000Z","94.69","95.39","93.76","95.11","0.74","0.61","21,449,500"
"2024-04-02T03:00:00.000Z","95.52","96.54","95.10","96.44","1.40","1.27","19,335,600"
"2024-04-03T03:00:00.000Z","96.80","97.23","96.48","97.10","0.68","0.56","14,574,400"
"2024-04-04T03:00:00.000Z","97.25","97.60","96.66","97.04","-0.06","-0.19","18,470,600"
"2024-04-05T03:00:00.000Z","97.44","98.47","96.85","98.08","1.07","0.94","15,587,500"
"2024-04-08T03:00:00.000Z","98.13","98.41","97.29","97.46","-0.63","-0.76","17,017,300"
"2024-04-09T03:00:00.000Z","97.88","98.14","96.78","97.49","0.03","-0.10","17,666,600"
"2024-04-10T03:00:00.000Z","97.22","98.15","96.80","97.79","0.31","0.18","19,599,800"
"2024-04-11T03:00:00.000Z","98.10","98.14","96.34","97.72","-0.07","-0.20","19,602,300"
"2024-04-12T03:00:00.000Z","98.34","98.97","95.67","96.13","-1.63","-1.76","23,280,000"
"2024-04-15T03:00:00.000Z","96.59","97.05","95.11","95.23","-0.94","-1.07","24,345,400"
"2024-04-16T03:00:00.000Z","95.05","95.49","93.73","94.40","-0.87","-1.00","18,248,800"
"2024-04-17T03:00:00.000Z","94.20","95.14","93.46","94.13","-0.29","-0.41","13,710,500"
"2024-04-18T03:00:00.000Z","94.45","94.72","93.51","93.84","-0.31","-0.44","12,777,800"
"2024-04-19T03:00:00.000Z","94.02","95.61","93.88","94.97","1.20","1.08","17,712,400"
"2024-04-22T03:00:00.000Z","94.47","96.24","93.72","95.59","0.65","0.52","15,122,200"
"2024-04-23T03:00:00.000Z","95.15","96.12","94.69","96.12","0.55","0.43","14,328,700"
"2024-04-24T03:00:00.000Z","95.52","96.30","95.06","96.19","0.07","-0.06","10,651,900"
"2024-04-25T03:00:00.000Z","96.08","96.92","95.25","96.63","0.46","0.33","13,250,100"
"2024-04-26T03:00:00.000Z","95.76","96.12","94.76","95.74","-0.92","-1.05","16,183,300"
"2024-04-29T03:00:00.000Z","95.46","96.60","95.40","96.39","0.68","0.55","11,118,200"
"2024-04-30T03:00:00.000Z","96.00","96.17","93.48","93.52","-2.98","-3.11","17,699,500"
"2024-05-01T03:00:00.000Z","93.39","93.69","91.53","92.03","-1.59","-1.72","25,471,900"
"2024-05-02T03:00:00.000Z","92.65","93.19","92.12","92.56","0.58","0.45","17,308,400"
"2024-05-03T03:00:00.000Z","92.64","92.74","91.35","92.57","0.01","-0.12","19,043,900"
"2024-05-06T03:00:00.000Z","92.86","94.24","92.86","93.30","0.79","0.66","16,722,800"
"2024-05-07T03:00:00.000Z","93.43","93.90","93.18","93.21","-0.10","-0.23","10,471,100"
"2024-05-08T03:00:00.000Z","92.67","93.55","92.53","93.10","-0.12","-0.25","9,905,900"
"2024-05-09T03:00:00.000Z","93.20","94.35","93.20","94.35","1.34","1.21","11,244,700"
"2024-05-10T03:00:00.000Z","94.55","94.86","93.58","93.83","-0.55","-0.68","10,283,300"
